"Gene","Base Mean","log2FC","LFC SE","p-value","FDR","Significant?","Ensembl ID","Symbol","MAP locus","Gene type","Gene description"
"ENSG00000269688",28.763,1.503,0.525,"1.31e-05","1.44e-03","Yes","ENSG00000269688",NA,NA,NA,NA
"ENSG00000236485",80.045,1.491,0.421,"2.62e-06","4.92e-04","Yes","ENSG00000236485",NA,NA,NA,NA
"GMIP",190.603,1.486,0.38,"8.22e-07","2.17e-04","Yes","ENSG00000089639","GMIP","19p13.11","protein-coding","GEM interacting protein"
"ENSG00000279480",39.595,1.482,0.455,"6.26e-06","8.77e-04","Yes","ENSG00000279480",NA,NA,NA,NA
"ENSG00000293717",20.117,1.474,0.638,"3.55e-05","2.88e-03","Yes","ENSG00000293717",NA,NA,NA,NA
"LSP1",16.453,1.469,0.739,"4.28e-05"," NA","No","ENSG00000130592","LSP1","11p15.5","protein-coding","lymphocyte specific protein 1"
"ENSG00000229854",15.414,1.465,0.703,"4.33e-05"," NA","No","ENSG00000229854",NA,NA,NA,NA
"TRPM4",125.297,1.464,0.517,"1.86e-05","1.85e-03","Yes","ENSG00000130529","TRPM4","19q13.33","protein-coding","transient receptor potential cation channel subfamily M member 4"
"LOC100130587",86.91,1.461,0.688,"4.40e-05","3.30e-03","Yes","ENSG00000203900","LOC100130587","20q13.33","ncRNA","uncharacterized LOC100130587"
"ENSG00000286275",17.537,1.454,0.785,"4.52e-05"," NA","No","ENSG00000286275",NA,NA,NA,NA
"ENSG00000273218",94.22,1.445,0.435,"6.98e-06","9.45e-04","Yes","ENSG00000273218",NA,NA,NA,NA
"ENSG00000258404",36.646,1.434,0.522,"2.71e-05","2.43e-03","Yes","ENSG00000258404",NA,NA,NA,NA
"SNORA5A",410.957,1.432,0.543,"3.29e-05","2.77e-03","Yes","ENSG00000206838","SNORA5A","7p13","snoRNA","small nucleolar RNA, H/ACA box 5A"
"ENSG00000232852",34.977,1.431,0.619,"4.84e-05","3.54e-03","Yes","ENSG00000232852",NA,NA,NA,NA
"SNORA79B",119.067,1.423,0.61,"5.05e-05","3.66e-03","Yes","ENSG00000222489","SNORA79B","14q11.2","snoRNA","small nucleolar RNA, H/ACA box 79B"
"ENSG00000294606",103.303,1.422,0.613,"5.13e-05","3.69e-03","Yes","ENSG00000294606",NA,NA,NA,NA
"ENSG00000287677",100.743,1.421,0.428,"8.22e-06","1.06e-03","Yes","ENSG00000287677",NA,NA,NA,NA
"MYOF",36.525,1.419,0.632,"5.56e-05","3.81e-03","Yes","ENSG00000138119","MYOF","10q23.33","protein-coding","myoferlin"
"ENSG00000266998",32.773,1.412,0.493,"2.58e-05","2.36e-03","Yes","ENSG00000266998",NA,NA,NA,NA
"SOHLH1",390.197,1.411,0.567,"4.68e-05","3.48e-03","Yes","ENSG00000165643","SOHLH1","9q34.3","protein-coding","spermatogenesis and oogenesis specific basic helix-loop-helix 1"
"NKPD1",104.139,1.404,0.467,"2.05e-05","1.97e-03","Yes","ENSG00000179846","NKPD1","19q13.32","protein-coding","NTPase KAP family P-loop domain containing 1"
"SEPT5-GP1BB",464.255,1.403,0.581,"5.39e-05","3.77e-03","Yes","ENSG00000284874","SEPT5-GP1BB","22q11.21","ncRNA","SEPT5-GP1BB readthrough"
"LOC728138",82.203,1.402,0.528,"3.99e-05","3.10e-03","Yes","ENSG00000261819","LOC728138","16p13.11","pseudo","KIAA2013 pseudogene"
"ENSG00000280936",183.558,1.396,0.623,"6.61e-05","4.28e-03","Yes","ENSG00000280936",NA,NA,NA,NA
"ENSG00000267610",29.226,1.39,0.524,"4.38e-05","3.30e-03","Yes","ENSG00000267610",NA,NA,NA,NA
"PDGFA-DT",80.603,1.38,0.531,"5.13e-05","3.69e-03","Yes","ENSG00000223855","PDGFA-DT","7p22.3","ncRNA","PDGFA divergent transcript"
"ENSG00000309468",94.871,1.373,0.486,"3.73e-05","2.97e-03","Yes","ENSG00000309468",NA,NA,NA,NA
"ENSG00000285416",50.345,1.366,0.433,"1.90e-05","1.87e-03","Yes","ENSG00000285416",NA,NA,NA,NA
"ENSG00000288746",34.559,1.358,0.51,"5.51e-05","3.80e-03","Yes","ENSG00000288746",NA,NA,NA,NA
"LOC101927911",77.988,1.354,0.552,"7.53e-05","4.65e-03","Yes","ENSG00000262884","LOC101927911","17p13.3","ncRNA","uncharacterized LOC101927911"
"ENSG00000289217",27.321,1.354,0.566,"8.06e-05","4.92e-03","Yes","ENSG00000289217",NA,NA,NA,NA
"INPP5D",41.251,1.341,0.544,"8.19e-05","4.93e-03","Yes","ENSG00000168918","INPP5D","2q37.1","protein-coding","inositol polyphosphate-5-phosphatase D"
"SLC22A18",35.812,1.335,0.507,"6.88e-05","4.39e-03","Yes","ENSG00000110628","SLC22A18","11p15.4","protein-coding","solute carrier family 22 member 18"
"MYL5",221.372,1.334,0.557,"9.29e-05","5.45e-03","Yes","ENSG00000215375","MYL5","4p16.3","protein-coding","myosin light chain 5"
"KIF26A",47.369,1.331,0.625,"1.13e-04","6.22e-03","Yes","ENSG00000066735","KIF26A","14q32.33","protein-coding","kinesin family member 26A"
"ENSG00000301589",277.335,1.329,0.464,"4.79e-05","3.52e-03","Yes","ENSG00000301589",NA,NA,NA,NA
"ENSG00000236936",37.022,1.326,0.493,"6.76e-05","4.35e-03","Yes","ENSG00000236936",NA,NA,NA,NA
"MIR4477B",49.204,1.32,0.55,"1.03e-04","5.85e-03","Yes","ENSG00000266017","MIR4477B","9q13","ncRNA","microRNA 4477b"
"GPR78",116.178,1.316,0.605,"1.24e-04","6.62e-03","Yes","ENSG00000155269","GPR78","4p16.1","protein-coding","G protein-coupled receptor 78"
"ENSG00000235615",16.527,1.31,0.655,"1.33e-04"," NA","No","ENSG00000235615",NA,NA,NA,NA
"KREMEN2",50.148,1.306,0.58,"1.30e-04","6.75e-03","Yes","ENSG00000131650","KREMEN2","16p13.3","protein-coding","kringle containing transmembrane protein 2"
"ENSG00000309790",63.69,1.305,0.465,"6.37e-05","4.15e-03","Yes","ENSG00000309790",NA,NA,NA,NA
"CRHR2",156.056,1.303,0.378,"1.28e-05","1.43e-03","Yes","ENSG00000106113","CRHR2","7p14.3","protein-coding","corticotropin releasing hormone receptor 2"
"PGLYRP1",88.486,1.303,0.508,"9.67e-05","5.59e-03","Yes","ENSG00000008438","PGLYRP1","19q13.32","protein-coding","peptidoglycan recognition protein 1"
"SNORA35B",5206.105,1.303,0.528,"1.09e-04","6.08e-03","Yes","ENSG00000271907","SNORA35B","Xq23","snoRNA","small nucleolar RNA, H/ACA box 35B"
"SNORA3B",711,1.301,0.556,"1.26e-04","6.66e-03","Yes","ENSG00000212607","SNORA3B","11p15.4","snoRNA","small nucleolar RNA, H/ACA box 3B"
"ENSG00000270124",143.089,1.298,0.455,"6.09e-05","4.05e-03","Yes","ENSG00000270124",NA,NA,NA,NA
"STING1",29.518,1.298,0.497,"9.38e-05","5.48e-03","Yes","ENSG00000184584","STING1","5q31.2","protein-coding","stimulator of interferon response cGAMP interactor 1"
"SNORA22",1264.618,1.296,0.578,"1.41e-04","7.14e-03","Yes","ENSG00000206634","SNORA22","7q11.21","snoRNA","small nucleolar RNA, H/ACA box 22"
"VSIG10L2",44.165,1.295,0.473,"7.79e-05","4.78e-03","Yes","ENSG00000283703","VSIG10L2","11q24.2","protein-coding","V-set and immunoglobulin domain containing 10 like 2"
"HSD11B2",47.327,1.291,0.466,"7.50e-05","4.64e-03","Yes","ENSG00000176387","HSD11B2","16q22.1","protein-coding","hydroxysteroid 11-beta dehydrogenase 2"
"ENSG00000309290",54.797,1.29,0.457,"6.83e-05","4.37e-03","Yes","ENSG00000309290",NA,NA,NA,NA
"ENSG00000260417",124.613,1.289,0.459,"7.14e-05","4.51e-03","Yes","ENSG00000260417",NA,NA,NA,NA
"LINC01168",96.629,1.287,0.417,"3.89e-05","3.06e-03","Yes","ENSG00000240707","LINC01168","10q26.3","ncRNA","long intergenic non-protein coding RNA 1168"
"ENSG00000277142",96.876,1.284,0.433,"5.33e-05","3.77e-03","Yes","ENSG00000277142",NA,NA,NA,NA
"STRA6",35.355,1.278,0.534,"1.43e-04","7.21e-03","Yes","ENSG00000137868","STRA6","15q24.1","protein-coding","signaling receptor and transporter of retinol STRA6"
"MIR409",17.098,1.277,0.678,"1.63e-04"," NA","No","ENSG00000199107","MIR409","14q32.31","ncRNA","microRNA 409"
"NOXA1",264.702,1.268,0.487,"1.19e-04","6.47e-03","Yes","ENSG00000188747","NOXA1","9q34.3","protein-coding","NADPH oxidase activator 1"
"FTCD",323.393,1.263,0.534,"1.66e-04","8.01e-03","Yes","ENSG00000160282","FTCD","21q22.3","protein-coding","formimidoyltransferase cyclodeaminase"
"ENSG00000278716",47.75,1.263,0.552,"1.76e-04","8.37e-03","Yes","ENSG00000278716",NA,NA,NA,NA
"GRIFIN",18.055,1.263,0.685,"1.77e-04","8.37e-03","Yes","ENSG00000275572","GRIFIN","7p22.3","protein-coding","galectin-related inter-fiber protein"
"IL17REL",29.509,1.261,0.634,"1.94e-04","8.92e-03","Yes","ENSG00000188263","IL17REL","22q13.33","protein-coding","interleukin 17 receptor E like"
"ZNF890P",36.096,1.26,0.486,"1.27e-04","6.69e-03","Yes","ENSG00000291037","ZNF890P","7p22.1","pseudo","zinc finger protein 890, pseudogene"
"ENSG00000276952",125.75,1.259,0.438,"7.69e-05","4.73e-03","Yes","ENSG00000276952",NA,NA,NA,NA
"RASAL1",819.879,1.259,0.485,"1.28e-04","6.69e-03","Yes","ENSG00000111344","RASAL1","12q24.13","protein-coding","RAS protein activator like 1"
"FAM157A",21.398,1.257,0.572,"1.96e-04","8.92e-03","Yes","ENSG00000290937","FAM157A","3q29","ncRNA","family with sequence similarity 157 member A"
"ENSG00000290690",43.939,1.25,0.491,"1.47e-04","7.38e-03","Yes","ENSG00000290690",NA,NA,NA,NA
"ENSG00000233334",113.941,1.249,0.382,"3.05e-05","2.63e-03","Yes","ENSG00000233334",NA,NA,NA,NA
"PDE6B",445.022,1.249,0.471,"1.25e-04","6.65e-03","Yes","ENSG00000133256","PDE6B","4p16.3","protein-coding","phosphodiesterase 6B"
"CCDC61",591.212,1.248,0.474,"1.31e-04","6.81e-03","Yes","ENSG00000104983","CCDC61","19q13.32","protein-coding","coiled-coil domain containing 61"
"USP32P1",67.057,1.246,0.37,"2.32e-05","2.16e-03","Yes","ENSG00000290976","USP32P1","17p11.2","pseudo","ubiquitin specific peptidase 32 pseudogene 1"
"METRN",167.106,1.246,0.535,"1.96e-04","8.92e-03","Yes","ENSG00000103260","METRN","16p13.3","protein-coding","meteorin, glial cell differentiation regulator"
"MEI1",34.589,1.244,0.484,"1.49e-04","7.44e-03","Yes","ENSG00000167077","MEI1","22q13.2","protein-coding","meiotic double-stranded break formation protein 1"
"CAPN15",288.374,1.242,0.546,"2.10e-04","9.32e-03","Yes","ENSG00000103326","CAPN15","16p13.3","protein-coding","calpain 15"
"MICALL2",878.17,1.239,0.497,"1.73e-04","8.27e-03","Yes","ENSG00000164877","MICALL2","7p22.3","protein-coding","MICAL like 2"
"MIR9-3HG",901.495,1.237,0.404,"5.72e-05","3.86e-03","Yes","ENSG00000255571","MIR9-3HG","15q26.1","ncRNA","MIR9-3 host gene"
"SNORA49",7149.981,1.235,0.496,"1.79e-04","8.42e-03","Yes","ENSG00000208892","SNORA49","12q24.33","snoRNA","small nucleolar RNA, H/ACA box 49"
"CFAP74",358.559,1.231,0.419,"8.08e-05","4.92e-03","Yes","ENSG00000142609","CFAP74","1p36.33","protein-coding","cilia and flagella associated protein 74"
"COL23A1",193.773,1.23,0.433,"1.01e-04","5.79e-03","Yes","ENSG00000050767","COL23A1","5q35.3","protein-coding","collagen type XXIII alpha 1 chain"
"LOC100133077",218.49,1.228,0.502,"1.99e-04","9.05e-03","Yes","ENSG00000203987","LOC100133077","9q34.3","ncRNA","uncharacterized LOC100133077"
"SNORD15B",6748.831,1.225,0.533,"2.34e-04","1.00e-02","Yes","ENSG00000207445","SNORD15B","11q13.4","snoRNA","small nucleolar RNA, C/D box 15B"
"COA6-AS1",101.369,1.218,0.398,"6.48e-05","4.21e-03","Yes","ENSG00000231663","COA6-AS1","1q42.2","ncRNA","COA6 antisense RNA 1"
"LOC100288123",89.67,1.215,0.577,"2.80e-04","1.12e-02","Yes","ENSG00000267244","LOC100288123","19p13.3","ncRNA","uncharacterized LOC100288123"
"CD151",135.93,1.214,0.505,"2.31e-04","9.95e-03","Yes","ENSG00000177697","CD151","11p15.5","protein-coding","CD151 molecule (Raph blood group)"
"ENSG00000310427",64.354,1.21,0.448,"1.53e-04","7.56e-03","Yes","ENSG00000310427",NA,NA,NA,NA
"RASSF7",43.423,1.21,0.595,"2.93e-04","1.15e-02","Yes","ENSG00000099849","RASSF7","11p15.5","protein-coding","Ras association domain family member 7"
"HAGHL",128.523,1.208,0.469,"1.93e-04","8.91e-03","Yes","ENSG00000103253","HAGHL","16p13.3","protein-coding","hydroxyacylglutathione hydrolase like"
"RHBDF2",32.114,1.208,0.534,"2.77e-04","1.11e-02","Yes","ENSG00000129667","RHBDF2","17q25.1","protein-coding","rhomboid 5 homolog 2"
"MIR199B",21.342,1.207,0.588,"3.02e-04","1.16e-02","Yes","ENSG00000207581","MIR199B","9q34.11","ncRNA","microRNA 199b"
"TP53I13",80.758,1.206,0.48,"2.14e-04","9.47e-03","Yes","ENSG00000167543","TP53I13","17q11.2","protein-coding","tumor protein p53 inducible protein 13"
"RIN1",166.692,1.205,0.438,"1.42e-04","7.19e-03","Yes","ENSG00000174791","RIN1","11q13.2","protein-coding","Ras and Rab interactor 1"
"GPC1",2105.914,1.204,0.487,"2.30e-04","9.93e-03","Yes","ENSG00000063660","GPC1","2q37.3","protein-coding","glypican 1"
"EME2",546.096,1.204,0.504,"2.54e-04","1.06e-02","Yes","ENSG00000197774","EME2","16p13.3","protein-coding","essential meiotic structure-specific endonuclease subunit 2"
"AGRN",1744.738,1.203,0.55,"3.01e-04","1.16e-02","Yes","ENSG00000188157","AGRN","1p36.33","protein-coding","agrin"
"ENSG00000186704",16.454,1.203,0.724,"2.24e-04"," NA","No","ENSG00000186704",NA,NA,NA,NA
"UAP1L1",274.341,1.202,0.441,"1.54e-04","7.60e-03","Yes","ENSG00000197355","UAP1L1","9q34.3","protein-coding","UDP-N-acetylglucosamine pyrophosphorylase 1 like 1"
"ENSG00000276570",54.036,1.202,0.509,"2.64e-04","1.08e-02","Yes","ENSG00000276570",NA,NA,NA,NA
"ENSG00000262445",66.38,1.2,0.416,"1.13e-04","6.22e-03","Yes","ENSG00000262445",NA,NA,NA,NA
"ENSG00000307712",51.288,1.2,0.536,"2.99e-04","1.16e-02","Yes","ENSG00000307712",NA,NA,NA,NA
"SNORA22C",149.851,1.197,0.536,"3.06e-04","1.17e-02","Yes","ENSG00000207344","SNORA22C","7q11.21","snoRNA","small nucleolar RNA, H/ACA box 22C"
"SCARNA8",62.433,1.195,0.605,"3.28e-04","1.24e-02","Yes","ENSG00000251733","SCARNA8","9p22.1","ncRNA","small Cajal body-specific RNA 8"
"AKR7A3",37.971,1.187,0.476,"2.52e-04","1.05e-02","Yes","ENSG00000162482","AKR7A3","1p36.13","protein-coding","aldo-keto reductase family 7 member A3"
"P2RY6",85.569,1.185,0.478,"2.60e-04","1.08e-02","Yes","ENSG00000171631","P2RY6","11q13.4","protein-coding","pyrimidinergic receptor P2Y6"
"PKD1",6089.163,1.183,0.487,"2.84e-04","1.13e-02","Yes","ENSG00000008710","PKD1","16p13.3","protein-coding","polycystin 1, transient receptor potential channel interacting"
"SNORA53",268.238,1.181,0.862,"9.63e-05","5.58e-03","Yes","ENSG00000212443","SNORA53","12q23.1","snoRNA","small nucleolar RNA, H/ACA box 53"
"GRM4",356.966,1.181,0.415,"1.37e-04","7.03e-03","Yes","ENSG00000124493","GRM4","6p21.31","protein-coding","glutamate metabotropic receptor 4"
"AIRE",28.331,1.181,0.563,"3.71e-04","1.33e-02","Yes","ENSG00000160224","AIRE","21q22.3","protein-coding","autoimmune regulator"
"THEMIS2",109.286,1.18,0.38,"7.36e-05","4.61e-03","Yes","ENSG00000130775","THEMIS2","1p35.3","protein-coding","thymocyte selection associated family member 2"
"ENSG00000229996",24.59,1.179,0.538,"3.62e-04","1.31e-02","Yes","ENSG00000229996",NA,NA,NA,NA
"ENSG00000231691",28.355,1.177,0.453,"2.30e-04","9.93e-03","Yes","ENSG00000231691",NA,NA,NA,NA
"DYSF",501.85,1.174,0.452,"2.35e-04","1.00e-02","Yes","ENSG00000135636","DYSF","2p13.2","protein-coding","dysferlin"
"IDUA",467.534,1.172,0.48,"3.03e-04","1.16e-02","Yes","ENSG00000127415","IDUA","4p16.3","protein-coding","alpha-L-iduronidase"
"ACTL10",46.12,1.172,0.515,"3.62e-04","1.31e-02","Yes","ENSG00000288649","ACTL10","20q11.22","protein-coding","actin like 10"
"SCUBE1",43.079,1.169,0.662,"3.52e-04","1.30e-02","Yes","ENSG00000159307","SCUBE1","22q13.2","protein-coding","signal peptide, CUB domain and EGF like domain containing 1"
"ENSG00000256008",390.874,1.168,0.344,"3.32e-05","2.77e-03","Yes","ENSG00000256008",NA,NA,NA,NA
"CCDC78",129.559,1.167,0.457,"2.65e-04","1.08e-02","Yes","ENSG00000162004","CCDC78","16p13.3","protein-coding","coiled-coil domain containing 78"
"RN7SL79P",20.455,1.164,0.547,"4.23e-04","1.44e-02","Yes","ENSG00000239595","RN7SL79P","17q11.2","pseudo","RNA, 7SL, cytoplasmic 79, pseudogene"
"ENSG00000230061",37.049,1.163,0.466,"2.98e-04","1.16e-02","Yes","ENSG00000230061",NA,NA,NA,NA
"HSPG2",38.379,1.162,0.595,"4.31e-04","1.45e-02","Yes","ENSG00000142798","HSPG2","1p36.12","protein-coding","heparan sulfate proteoglycan 2"
"TBC1D10C",200.925,1.161,0.466,"3.04e-04","1.16e-02","Yes","ENSG00000175463","TBC1D10C","11q13.2","protein-coding","TBC1 domain family member 10C"
"ENSG00000297516",91.386,1.16,0.416,"1.77e-04","8.37e-03","Yes","ENSG00000297516",NA,NA,NA,NA
"CNTNAP3",28.173,1.16,0.631,"4.09e-04","1.42e-02","Yes","ENSG00000283378",NA,NA,NA,NA
"CNTNAP3",28.173,1.16,0.631,"4.09e-04","1.42e-02","Yes","ENSG00000106714","CNTNAP3","9p12","protein-coding","contactin associated protein family member 3"
"ENSG00000287908",16.243,1.16,0.611,"4.27e-04"," NA","No","ENSG00000287908",NA,NA,NA,NA
"RN7SL775P",19.936,1.159,0.542,"4.36e-04","1.46e-02","Yes","ENSG00000243370","RN7SL775P","17p11.2","pseudo","RNA, 7SL, cytoplasmic 775, pseudogene"
"WEE2-AS1",15.527,1.158,0.593,"4.46e-04"," NA","No","ENSG00000228775","WEE2-AS1","7q34","ncRNA","WEE2 antisense RNA 1"
"ENSG00000296343",982.082,1.157,0.342,"3.71e-05","2.97e-03","Yes","ENSG00000296343",NA,NA,NA,NA
"FHAD1",280.572,1.157,0.38,"9.92e-05","5.70e-03","Yes","ENSG00000142621","FHAD1","1p36.21","protein-coding","forkhead associated phosphopeptide binding domain 1"
"SLC26A1",139.488,1.156,0.54,"4.47e-04","1.48e-02","Yes","ENSG00000145217","SLC26A1","4p16.3","protein-coding","solute carrier family 26 member 1"
"MIR1197",13.594,1.156,0.668,"3.73e-04"," NA","No","ENSG00000221745","MIR1197","14q32.31","ncRNA","microRNA 1197"
"FBXL6",96.558,1.153,0.559,"4.67e-04","1.50e-02","Yes","ENSG00000182325","FBXL6","8q24.3","protein-coding","F-box and leucine rich repeat protein 6"
"ENSG00000297800",73.949,1.152,0.49,"3.89e-04","1.38e-02","Yes","ENSG00000297800",NA,NA,NA,NA
"SPTBN5",225.853,1.15,0.416,"2.01e-04","9.06e-03","Yes","ENSG00000137877","SPTBN5","15q15.1","protein-coding","spectrin beta, non-erythrocytic 5"
"ENSG00000296434",30.209,1.15,0.525,"4.55e-04","1.49e-02","Yes","ENSG00000296434",NA,NA,NA,NA
"PLXNB3",48.763,1.15,0.53,"4.61e-04","1.49e-02","Yes","ENSG00000198753","PLXNB3","Xq28","protein-coding","plexin B3"
"LIMD2",192.897,1.148,0.52,"4.61e-04","1.49e-02","Yes","ENSG00000136490","LIMD2","17q23.3","protein-coding","LIM domain containing 2"
"ENSG00000287896",36.182,1.147,0.477,"3.82e-04","1.35e-02","Yes","ENSG00000287896",NA,NA,NA,NA
"ESYT1",389.046,1.146,0.354,"6.09e-05","4.05e-03","Yes","ENSG00000139641","ESYT1","12q13.2","protein-coding","extended synaptotagmin 1"
"DPP7",549.918,1.146,0.413,"2.00e-04","9.06e-03","Yes","ENSG00000176978","DPP7","9q34.3","protein-coding","dipeptidyl peptidase 7"
"ABCC3",86.621,1.145,0.412,"2.01e-04","9.06e-03","Yes","ENSG00000108846","ABCC3","17q21.33","protein-coding","ATP binding cassette subfamily C member 3"
"C18orf15",43.063,1.145,0.468,"3.65e-04","1.32e-02","Yes","ENSG00000279020","C18orf15","18p11.21","ncRNA","chromosome 18 putative open reading frame 15"
"SARDH",55.282,1.142,0.463,"3.61e-04","1.31e-02","Yes","ENSG00000123453","SARDH","9q34.2","protein-coding","sarcosine dehydrogenase"
"NKD2",72.031,1.142,0.503,"4.57e-04","1.49e-02","Yes","ENSG00000145506","NKD2","5p15.33","protein-coding","NKD inhibitor of WNT signaling pathway 2"
"ENSG00000271717",29.93,1.142,0.519,"4.85e-04","1.54e-02","Yes","ENSG00000271717",NA,NA,NA,NA
"LOXHD1",148.04,1.14,0.456,"3.48e-04","1.29e-02","Yes","ENSG00000167210","LOXHD1","18q21.1","protein-coding","lipoxygenase homology PLAT domains 1"
"RHOT2",717.756,1.139,0.484,"4.29e-04","1.45e-02","Yes","ENSG00000140983","RHOT2","16p13.3","protein-coding","ras homolog family member T2"
"SPPL2B",562.438,1.139,0.485,"4.30e-04","1.45e-02","Yes","ENSG00000005206","SPPL2B","19p13.3","protein-coding","signal peptide peptidase like 2B"
"CLEC2L",162.395,1.138,0.389,"1.50e-04","7.47e-03","Yes","ENSG00000236279","CLEC2L","7q34","protein-coding","C-type lectin domain family 2 member L"
"TAMALIN",549.236,1.138,0.469,"3.94e-04","1.39e-02","Yes","ENSG00000161835","TAMALIN","12q13.13","protein-coding","trafficking regulator and scaffold protein tamalin"
"ENSG00000229569",47.126,1.137,0.442,"3.14e-04","1.19e-02","Yes","ENSG00000229569",NA,NA,NA,NA
