"gene_symbols"	"SRR10446596"	"SRR10446599"	"SRR10446602"	"SRR10446605"	"SRR10446608"	"SRR10446611"
"ENSG00000250885"	"NA"	3	0	0	0	0	0
"ENSG00000286741"	"NA"	1	0	3	0	0	0
"ENSG00000250787"	"HMGN1P17"	0	0	0	0	0	0
"ENSG00000248727"	"LINC01948"	14	27	47	7	5	20
"ENSG00000285997"	"NA"	0	0	0	0	0	0
"ENSG00000225940"	"NA"	2	0	12	0	3	9
"ENSG00000305434"	"NA"	0	0	0	1	0	0
"ENSG00000305419"	"NA"	2	0	0	1	0	0
"ENSG00000305452"	"NA"	0	0	0	0	0	1
"ENSG00000306891"	"NA"	4	1	6	0	0	0
"ENSG00000306906"	"NA"	0	0	0	0	0	0
"ENSG00000289709"	"LOC105378979"	0	11	13	1	0	20
"ENSG00000297204"	"NA"	0	0	1	0	4	0
"ENSG00000297217"	"NA"	0	0	0	0	0	0
"ENSG00000237705"	"NA"	4	6	18	0	8	12
"ENSG00000225230"	"NA"	0	2	2	1	2	1
"ENSG00000271828"	"NA"	8	20	30	29	16	18
"ENSG00000285590"	"NA"	5	10	20	0	4	6
"ENSG00000113328"	"CCNG1"	54	126	196	28	57	93
"ENSG00000261360"	"OTULIN-DT"	35	59	47	14	10	42
"ENSG00000154124"	"OTULIN"	174	326	484	198	266	242
"ENSG00000299342"	"NA"	2	1	1	1	5	2
"ENSG00000288741"	"NA"	9	22	8	13	4	19
"ENSG00000305622"	"NA"	0	2	0	0	0	0
"ENSG00000310314"	"NA"	0	0	0	0	0	0
"ENSG00000250888"	"LINC01455"	0	0	0	0	0	0
"ENSG00000177034"	"MTX3"	309	647	730	141	195	241
"ENSG00000113296"	"THBS4"	33	83	176	80	78	37
"ENSG00000251050"	"NA"	0	1	4	0	0	0
"ENSG00000249778"	"TRMT112P2"	0	1	2	0	0	0
"ENSG00000249825"	"THBS4-AS1"	16	24	67	11	34	23
"ENSG00000164300"	"SERINC5"	198	391	885	214	351	213
"ENSG00000251675"	"NA"	2	25	30	0	14	11
"ENSG00000249438"	"KRT18P45"	0	0	0	0	0	0
"ENSG00000184188"	"NA"	0	0	0	0	0	0
"ENSG00000251828"	"LOC124900204"	0	0	0	0	0	0
"ENSG00000244076"	"NA"	0	0	0	0	0	0
"ENSG00000164299"	"SPZ1"	0	0	0	0	2	0
"ENSG00000227087"	"NA"	0	0	3	1	0	0
"ENSG00000248569"	"NA"	3	7	4	0	0	1
"ENSG00000220157"	"NA"	0	2	3	2	0	1
"ENSG00000206774"	"RNU6-211P"	0	0	1	0	0	0
"ENSG00000300538"	"NA"	0	0	4	0	0	4
"ENSG00000300760"	"NA"	0	0	0	0	0	0
"ENSG00000300786"	"NA"	0	0	1	1	0	0
"ENSG00000300695"	"NA"	0	5	1	2	3	0
"ENSG00000300642"	"NA"	0	5	5	0	1	0
"ENSG00000286656"	"NA"	1	3	6	1	1	1
"ENSG00000251131"	"NA"	2	2	24	19	15	15
"ENSG00000300615"	"NA"	2	1	3	2	1	1
"ENSG00000215068"	"ANXA2R-AS1"	28	31	185	74	75	76
"ENSG00000300674"	"NA"	19	37	47	2	14	45
"ENSG00000177738"	"ANXA2R-OT1"	39	80	141	56	113	108
"ENSG00000293676"	"NA"	2	7	2	3	0	6
"ENSG00000304063"	"NA"	3	14	13	1	7	7
"ENSG00000279638"	"NA"	11	3	6	0	1	10
"ENSG00000251597"	"RPL37P25"	0	0	0	0	0	2
"ENSG00000169271"	"HSPB3"	21	15	13	18	10	27
"ENSG00000178996"	"SNX18"	81	127	321	120	170	169
"ENSG00000248426"	"NA"	0	0	0	0	0	0
"ENSG00000298028"	"NA"	0	0	0	0	0	0
"ENSG00000248185"	"LOC100420027"	0	0	0	0	0	0
"ENSG00000307084"	"NA"	3	5	4	0	0	4
"ENSG00000288579"	"NA"	0	0	0	0	0	0
"ENSG00000302191"	"NA"	0	0	0	0	0	0
"ENSG00000230829"	"RPL27P10"	0	0	0	0	0	0
"ENSG00000296226"	"NA"	0	2	1	1	1	0
"ENSG00000251356"	"NA"	0	0	1	0	0	4
"ENSG00000281357"	"ARRDC3-AS1"	17	25	52	28	37	66
"ENSG00000250984"	"NA"	0	0	0	0	0	0
"ENSG00000296733"	"NA"	0	0	0	0	0	0
"ENSG00000250359"	"NA"	0	0	0	0	0	0
"ENSG00000299923"	"NA"	0	0	2	0	0	0
"ENSG00000274455"	"NA"	0	1	0	2	0	0
"ENSG00000300549"	"NA"	4	2	0	0	0	2
"ENSG00000232517"	"CSPG4BP"	0	0	0	0	0	0
"ENSG00000296132"	"NA"	0	0	0	0	0	0
"ENSG00000250669"	"LOC359819"	0	0	0	0	0	0
"ENSG00000250461"	"NA"	0	0	0	0	0	0
"ENSG00000307181"	"NA"	16	25	38	4	17	29
"ENSG00000215630"	"GUSBP9"	0	0	0	0	0	0
"ENSG00000249721"	"NA"	0	0	0	0	0	0
"ENSG00000250421"	"NA"	0	2	1	1	0	0
"ENSG00000250247"	"NA"	0	0	0	0	0	0
"ENSG00000286441"	"LOC107986376"	0	0	0	0	0	0
"ENSG00000213285"	"RPL23AP45"	0	0	0	0	0	0
"ENSG00000307079"	"NA"	0	0	0	0	0	0
"ENSG00000250848"	"NA"	24	17	31	9	16	18
"ENSG00000248925"	"NA"	8	12	24	6	5	16
"ENSG00000240518"	"RPL36P11"	2	2	0	0	0	0
"ENSG00000306175"	"NA"	1	2	1	0	1	0
"ENSG00000250711"	"NA"	0	0	0	0	0	0
"ENSG00000300719"	"NA"	0	2	1	0	0	0
"ENSG00000228259"	"NA"	2	1	0	0	2	0
"ENSG00000304201"	"NA"	0	0	2	3	0	0
"ENSG00000235558"	"NA"	0	0	0	0	0	0
"ENSG00000274525"	"NA"	0	0	0	0	0	0
"ENSG00000251583"	"NA"	0	0	0	1	0	0
"ENSG00000310407"	"NA"	0	0	0	0	0	0
"ENSG00000213386"	"NA"	0	0	0	0	0	0
"ENSG00000295914"	"NA"	1	3	2	2	0	0
"ENSG00000243648"	"RPS10P11"	0	0	0	0	0	0
"ENSG00000299601"	"NA"	1	3	3	0	3	1
"ENSG00000249014"	"NA"	0	0	0	0	0	1
"ENSG00000308091"	"NA"	0	1	1	0	0	0
"ENSG00000253520"	"NA"	0	0	0	0	0	0
"ENSG00000290043"	"NA"	19	12	13	19	27	6
"ENSG00000230847"	"NA"	0	0	0	0	0	0
"ENSG00000304332"	"NA"	0	0	0	0	0	0
"ENSG00000251634"	"NA"	9	11	16	2	8	4
"ENSG00000296329"	"NA"	35	24	37	9	37	16
"ENSG00000253900"	"CDH12P4"	0	0	0	0	0	0
"ENSG00000296364"	"NA"	3	0	0	0	0	0
"ENSG00000214857"	"NA"	0	0	0	0	0	0
"ENSG00000251352"	"LOC100420514"	2	0	1	3	3	0
"ENSG00000253333"	"NA"	0	0	0	0	0	0
"ENSG00000196302"	"NA"	0	0	0	0	0	0
"ENSG00000300109"	"NA"	12	12	5	5	18	3
"ENSG00000249620"	"H3P18"	0	0	0	0	0	0
"ENSG00000297361"	"NA"	3	0	0	0	0	2
"ENSG00000250386"	"H3P21"	0	0	0	0	0	0
"ENSG00000299116"	"NA"	0	0	0	0	0	0
"ENSG00000254701"	"NA"	0	0	0	0	0	0
"ENSG00000253816"	"NA"	0	0	0	0	0	0
"ENSG00000179978"	"NA"	6	7	15	9	20	39
"ENSG00000300022"	"NA"	5	3	0	4	1	13
"ENSG00000214244"	"NA"	0	0	0	0	0	0
"ENSG00000305967"	"NA"	12	15	30	7	12	24
"ENSG00000232615"	"NA"	15	14	12	5	5	5
"ENSG00000294221"	"NA"	22	16	23	46	2	22
"ENSG00000213730"	"NA"	0	0	0	0	0	0
"ENSG00000299425"	"NA"	0	1	1	1	0	0
"ENSG00000249400"	"NA"	0	0	0	0	0	0
"ENSG00000288766"	"NA"	8	8	5	0	2	3
"ENSG00000251122"	"NIFKP2"	0	2	1	2	5	3
"ENSG00000303976"	"NA"	0	1	3	0	4	3
"ENSG00000248293"	"NA"	0	0	0	0	0	0
"ENSG00000198237"	"NA"	0	0	0	0	0	0
"ENSG00000295602"	"NA"	5	8	7	3	22	3
"ENSG00000249230"	"CDH12P2"	0	0	0	0	0	0
"ENSG00000295635"	"NA"	0	0	1	2	0	0
"ENSG00000275374"	"NA"	0	0	0	0	0	0
"ENSG00000247877"	"FAM174A-DT"	12	24	23	7	16	54
"ENSG00000227762"	"NA"	0	0	0	0	0	0
"ENSG00000249515"	"NA"	0	0	0	0	0	1
"ENSG00000251409"	"NA"	6	9	5	3	14	8
"ENSG00000251000"	"NA"	0	0	0	0	0	0
"ENSG00000281327"	"NA"	14	3	9	1	1	8
"ENSG00000248112"	"NA"	11	8	11	0	10	29
"ENSG00000251458"	"NA"	2	2	1	4	4	1
"ENSG00000283235"	"NA"	16	23	35	21	50	49
"ENSG00000308702"	"NA"	0	4	14	1	2	3
"ENSG00000304351"	"NA"	2	0	1	0	0	0
"ENSG00000248275"	"TRIM52-AS1"	41	66	105	117	96	70
"ENSG00000250900"	"NA"	1	6	15	1	6	6
"ENSG00000250222"	"NA"	5	2	5	1	3	2
"ENSG00000299490"	"NA"	0	0	0	0	0	0
"ENSG00000297855"	"NA"	0	0	0	0	0	0
"ENSG00000297805"	"NA"	3	12	13	5	13	17
"ENSG00000253366"	"NA"	0	0	0	0	0	0
"ENSG00000288349"	"NA"	0	1	0	0	1	1
"ENSG00000297947"	"NA"	0	0	0	0	0	0
"ENSG00000297919"	"NA"	0	0	0	0	0	0
"ENSG00000285204"	"SMN-AS1"	0	0	0	0	0	0
"ENSG00000291079"	"NA"	1132	1313	2289	1056	1406	1787
"ENSG00000293393"	"NA"	0	7	5	1	3	0
"ENSG00000275765"	"LOC100652758"	5	7	11	2	5	2
"ENSG00000287938"	"NA"	0	1	8	0	2	3
"ENSG00000253315"	"LINC01932"	4	9	15	2	7	13
"ENSG00000291113"	"LOC728554"	287	359	456	715	884	258
"ENSG00000245729"	"LINC02226"	7	11	26	10	4	26
"ENSG00000251426"	"NA"	0	0	0	0	0	0
"ENSG00000112699"	"GMDS"	129	136	133	132	184	184
"ENSG00000112685"	"EXOC2"	274	613	805	279	421	357
"ENSG00000219375"	"NA"	0	0	0	0	0	0
"ENSG00000270174"	"LOC101927950"	40	97	66	20	63	104
"ENSG00000261730"	"NA"	2	2	6	7	9	0
"ENSG00000176515"	"NA"	14	12	27	7	14	0
"ENSG00000286368"	"NA"	1	0	0	4	0	2
"ENSG00000124802"	"EEF1E1"	21	31	40	7	10	16
"ENSG00000217239"	"RPL34P16"	11	14	37	2	1	31
"ENSG00000188428"	"BLOC1S5"	26	36	101	16	22	33
"ENSG00000220472"	"RPS3P4"	0	0	3	0	0	0
"ENSG00000218643"	"RPL5P20"	0	0	1	0	0	0
"ENSG00000220920"	"RPS12P12"	2	10	26	2	2	15
"ENSG00000216360"	"NA"	16	30	33	19	30	34
"ENSG00000271888"	"NA"	0	0	2	1	0	0
"ENSG00000265818"	"NA"	0	0	0	0	0	0
"ENSG00000165097"	"KDM1B"	204	431	475	264	376	186
"ENSG00000217379"	"RPL21P61"	0	0	1	0	0	0
"ENSG00000259040"	"BLOC1S5-TXNDC5"	0	0	0	0	0	0
"ENSG00000218512"	"NA"	0	0	0	0	0	0
"ENSG00000219294"	"NA"	1	5	20	0	5	2
"ENSG00000153162"	"BMP6"	4	14	32	9	5	3
"ENSG00000239264"	"TXNDC5"	10	7	24	23	9	15
"ENSG00000287138"	"NA"	0	0	0	0	0	0
"ENSG00000270477"	"NA"	0	0	1	0	0	0
"ENSG00000218476"	"RPL6P18"	0	0	0	0	0	0
"ENSG00000223623"	"NA"	0	0	0	0	0	0
"ENSG00000112273"	"HDGFL1"	10	45	58	21	31	49
"ENSG00000216754"	"RPL6P17"	0	0	0	0	0	0
"ENSG00000164379"	"FOXQ1"	27	37	49	37	10	6
"ENSG00000216368"	"RPL7AP36"	0	1	0	1	0	0
"ENSG00000124787"	"RPP40"	11	25	18	4	40	11
"ENSG00000124795"	"DEK"	159	472	700	101	134	168
"ENSG00000229313"	"NA"	0	0	0	0	0	0
"ENSG00000230873"	"STMND1"	4	2	3	2	5	1
"ENSG00000220748"	"NA"	0	0	0	0	0	0
"ENSG00000231662"	"NA"	0	1	1	0	0	5
"ENSG00000213916"	"RPL13P"	0	0	0	0	0	0
"ENSG00000270937"	"NA"	0	2	1	1	1	0
"ENSG00000217746"	"NA"	0	1	6	0	0	1
"ENSG00000223342"	"NA"	0	0	0	0	0	0
"ENSG00000219682"	"NA"	2	0	3	0	3	10
"ENSG00000235559"	"NA"	2	1	5	10	0	0
"ENSG00000228772"	"NA"	26	72	59	13	29	78
"ENSG00000145990"	"GFOD1"	806	2056	1897	809	1136	840
"ENSG00000152954"	"NRSN1"	549	993	885	272	427	545
"ENSG00000242524"	"OR2U2P"	0	0	4	0	3	0
"ENSG00000220685"	"TFB2MP1"	4	10	15	2	4	10
"ENSG00000008083"	"JARID2"	444	709	691	653	714	610
"ENSG00000217030"	"RPS18P8"	0	1	1	0	0	0
"ENSG00000287002"	"NA"	0	0	0	0	1	0
"ENSG00000224233"	"OR2J4P"	0	0	0	0	0	0
"ENSG00000284656"	"NA"	0	0	5	0	0	0
"ENSG00000204713"	"TRIM27"	239	502	559	190	406	234
"ENSG00000220446"	"NA"	3	3	1	0	0	9
"ENSG00000218574"	"NA"	2	7	7	3	11	16
"ENSG00000233366"	"NA"	0	0	2	0	0	0
"ENSG00000112183"	"RBM24"	89	158	277	61	108	88
"ENSG00000214012"	"KRT18P38"	0	0	2	0	0	0
"ENSG00000225092"	"NA"	0	0	2	0	1	1
"ENSG00000217414"	"DDX18P3"	1	6	4	4	8	2
"ENSG00000124783"	"SSR1"	416	808	1073	187	418	422
"ENSG00000137273"	"FOXF2"	6	23	29	7	14	5
"ENSG00000217314"	"NA"	0	0	1	0	7	1
"ENSG00000124766"	"SOX4"	33	18	61	51	30	12
"ENSG00000229765"	"RPL21P62"	0	0	0	0	1	0
"ENSG00000213911"	"OR2G1P"	0	0	0	3	0	0
"ENSG00000286954"	"NA"	130	213	512	88	225	340
"ENSG00000145996"	"CDKAL1"	152	221	346	140	230	268
"ENSG00000146038"	"DCDC2"	28	84	41	18	31	28
"ENSG00000172201"	"ID4"	11	44	40	11	12	4
"ENSG00000230570"	"NA"	0	0	0	0	0	0
"ENSG00000220771"	"BOLA2P3"	0	0	0	0	0	0
"ENSG00000137177"	"KIF13A"	406	953	1355	423	918	705
"ENSG00000235488"	"JARID2-AS1"	0	8	6	17	19	5
"ENSG00000287347"	"NA"	4	9	18	1	4	14
"ENSG00000218976"	"NA"	0	3	5	2	7	1
"ENSG00000137364"	"TPMT"	87	170	231	50	49	71
"ENSG00000219582"	"NA"	0	0	0	0	0	0
"ENSG00000229700"	"NA"	2	0	0	0	1	0
"ENSG00000164304"	"CAGE1"	0	1	3	2	0	14
"ENSG00000278102"	"NA"	0	0	0	0	0	0
"ENSG00000054598"	"FOXC1"	2	2	13	17	2	7
"ENSG00000187566"	"NHLRC1"	7	39	34	9	16	15
"ENSG00000153046"	"CDYL"	165	301	284	121	209	241
"ENSG00000225832"	"NA"	1	3	1	1	1	3
"ENSG00000280443"	"NA"	0	0	0	0	0	0
"ENSG00000172197"	"MBOAT1"	2	0	1	10	3	1
"ENSG00000203498"	"NA"	0	0	0	0	0	0
"ENSG00000231276"	"NA"	1	0	0	1	0	0
"ENSG00000124784"	"RIOK1"	175	168	214	79	179	127
"ENSG00000233848"	"NA"	2	5	10	0	4	1
"ENSG00000278736"	"NA"	0	0	0	0	0	0
"ENSG00000271530"	"NA"	0	0	0	0	0	0
"ENSG00000171467"	"ZNF318"	1152	1631	2398	833	1558	1377
"ENSG00000274844"	"NA"	0	0	1	0	0	0
"ENSG00000146122"	"DAAM2"	24	48	139	88	59	81
"ENSG00000146085"	"MMUT"	157	359	406	105	115	127
"ENSG00000065308"	"TRAM2"	132	235	282	87	191	181
"ENSG00000230204"	"NA"	0	0	0	0	0	0
"ENSG00000271338"	"NA"	0	0	0	0	0	0
"ENSG00000216687"	"NA"	3	13	17	1	26	1
"ENSG00000237530"	"NA"	0	0	0	0	0	0
"ENSG00000170950"	"PGK2"	0	0	0	0	0	0
"ENSG00000233859"	"NA"	0	0	1	2	1	1
"ENSG00000276290"	"RBBP4P3"	0	1	1	0	0	0
"ENSG00000271373"	"NANOGP3"	0	1	0	0	0	0
"ENSG00000216365"	"RPL37P15"	4	4	1	0	0	0
"ENSG00000271162"	"PRR11P1"	0	0	0	0	0	0
"ENSG00000065491"	"TBC1D22B"	72	149	153	135	116	112
"ENSG00000012660"	"ELOVL5"	142	157	291	72	101	111
"ENSG00000112130"	"RNF8"	330	631	475	359	360	333
"ENSG00000270306"	"TIAL1P1"	0	0	0	0	0	0
"ENSG00000204697"	"OR2U1P"	0	0	1	1	0	0
"ENSG00000279022"	"NA"	2	7	12	1	1	4
"ENSG00000031691"	"CENPQ"	12	27	35	3	14	13
"ENSG00000124813"	"RUNX2"	41	83	261	35	48	81
"ENSG00000218337"	"NA"	0	0	0	0	0	0
"ENSG00000218890"	"NA"	2	1	2	0	0	1
"ENSG00000214561"	"RBBP4P4"	2	2	5	1	3	15
"ENSG00000124490"	"CRISP2"	0	0	0	2	0	0
"ENSG00000219702"	"NA"	0	0	0	0	0	0
"ENSG00000220030"	"NA"	0	0	0	0	0	0
"ENSG00000275046"	"NA"	0	5	1	0	1	1
"ENSG00000279076"	"NA"	0	0	0	0	0	0
"ENSG00000220091"	"LAP3P1"	4	5	5	1	10	0
"ENSG00000170927"	"PKHD1"	10	9	11	6	11	31
"ENSG00000219653"	"NA"	0	0	0	0	0	0
"ENSG00000214641"	"RPS15AP20"	0	0	0	0	0	0
"ENSG00000146166"	"LGSN"	0	2	1	1	1	0
"ENSG00000232702"	"NA"	0	0	3	0	0	0
"ENSG00000220212"	"OR4F1P"	0	0	0	0	0	0
"ENSG00000154079"	"SDHAF4"	21	88	125	61	53	45
"ENSG00000219604"	"NA"	0	0	0	0	0	0
"ENSG00000217527"	"NA"	0	2	3	2	1	0
"ENSG00000274867"	"LOC100421158"	0	0	0	0	0	0
"ENSG00000275550"	"NA"	12	1	16	2	3	18
"ENSG00000279790"	"NA"	0	0	1	1	0	0
"ENSG00000065615"	"CYB5R4"	218	375	521	162	275	373
"ENSG00000065833"	"ME1"	230	342	306	131	247	211
"ENSG00000146143"	"PRIM2"	33	69	73	18	36	22
"ENSG00000279127"	"NA"	0	0	0	0	0	0
"ENSG00000270521"	"NA"	0	1	0	0	0	0
"ENSG00000184486"	"POU3F2"	68	248	413	35	67	87
"ENSG00000227215"	"NA"	1	14	26	3	12	5
"ENSG00000218713"	"NA"	0	0	0	1	0	0
"ENSG00000181705"	"NA"	0	0	0	0	7	1
"ENSG00000276064"	"NA"	0	0	0	0	0	0
"ENSG00000231762"	"NA"	0	3	0	0	1	0
"ENSG00000220918"	"LOC100422671"	0	2	4	0	0	1
"ENSG00000220831"	"NA"	0	2	8	0	0	6
"ENSG00000271967"	"NA"	7	27	34	2	2	5
"ENSG00000219757"	"NA"	0	0	0	0	0	0
"ENSG00000232120"	"NA"	0	0	0	0	0	0
"ENSG00000219257"	"NPM1P38"	0	1	1	0	0	0
"ENSG00000057657"	"PRDM1"	43	40	95	28	78	79
"ENSG00000275716"	"LOC100420742"	0	0	0	0	0	0
"ENSG00000261080"	"NA"	0	2	3	2	0	1
"ENSG00000170915"	"PAQR8"	138	154	307	75	149	149
"ENSG00000271042"	"NA"	0	0	4	0	0	0
"ENSG00000203972"	"GLYATL3"	0	0	0	0	0	0
"ENSG00000156535"	"CD109"	30	48	60	31	66	47
"ENSG00000217631"	"NA"	0	0	0	0	0	0
"ENSG00000219453"	"NA"	0	0	0	0	0	0
"ENSG00000164627"	"KIF6"	52	61	115	44	54	56
"ENSG00000266579"	"NA"	1	0	2	0	0	0
"ENSG00000271367"	"NA"	0	0	0	0	0	0
"ENSG00000118407"	"FILIP1"	9	50	40	8	3	21
"ENSG00000112218"	"GPR63"	83	188	445	29	81	117
"ENSG00000219902"	"RPL35P3"	26	28	30	7	24	22
"ENSG00000213177"	"NA"	0	0	0	2	1	0
"ENSG00000219085"	"NA"	31	34	47	8	5	36
"ENSG00000216523"	"NA"	0	0	0	0	0	0
"ENSG00000146233"	"CYP39A1"	0	28	1	4	5	11
"ENSG00000231559"	"RPL37AP3"	5	4	2	3	0	1
"ENSG00000228976"	"NA"	10	9	21	1	11	10
"ENSG00000286672"	"NA"	24	33	78	18	52	52
"ENSG00000219163"	"NA"	0	7	16	7	4	7
"ENSG00000224583"	"NA"	0	0	0	0	0	0
"ENSG00000281613"	"NA"	0	0	0	0	0	0
"ENSG00000005700"	"IBTK"	840	1119	2005	530	1016	979
"ENSG00000219951"	"NA"	4	7	7	0	8	3
"ENSG00000218582"	"NA"	3	2	24	0	1	0
"ENSG00000217120"	"NA"	0	0	1	0	0	0
"ENSG00000226440"	"NA"	3	9	13	3	5	12
"ENSG00000220291"	"NA"	0	0	6	0	0	0
"ENSG00000281969"	"NA"	1	2	9	15	9	8
"ENSG00000217268"	"NA"	0	0	0	0	0	0
"ENSG00000216378"	"NA"	0	0	1	5	4	0
"ENSG00000286405"	"NA"	0	2	2	0	0	0
"ENSG00000272398"	"CD24"	39	61	51	1	6	7
"ENSG00000216518"	"EEF1GP6"	1	3	13	0	1	9
"ENSG00000219190"	"NA"	0	6	4	3	1	3
"ENSG00000277172"	"GAPDHP41"	0	0	1	0	0	0
"ENSG00000285401"	"NA"	0	0	0	0	0	0
"ENSG00000216352"	"NA"	0	0	1	0	0	0
"ENSG00000220505"	"NA"	0	0	1	3	0	1
"ENSG00000270661"	"NA"	2	1	7	1	2	3
"ENSG00000220773"	"RPSAP44"	0	4	0	0	0	0
"ENSG00000111860"	"CEP85L"	503	548	991	270	445	703
"ENSG00000217139"	"LOC100129422"	0	0	1	0	0	0
"ENSG00000218233"	"NA"	4	8	10	1	7	7
"ENSG00000226309"	"SMARCE1P2"	0	0	0	0	0	0
"ENSG00000216902"	"RPL31P32"	0	0	0	0	0	0
"ENSG00000219559"	"RPS19P5"	0	0	0	0	1	0
"ENSG00000287705"	"NA"	0	5	8	2	0	5
"ENSG00000112796"	"ENPP5"	112	416	298	21	76	160
"ENSG00000152034"	"MCHR2"	56	153	167	52	70	90
"ENSG00000232699"	"NA"	0	0	0	0	0	0
"ENSG00000231628"	"NA"	11	28	30	9	23	35
"ENSG00000219881"	"NA"	25	33	85	17	44	41
"ENSG00000220326"	"NA"	0	0	0	0	0	0
"ENSG00000216859"	"NA"	0	0	0	0	0	0
"ENSG00000187189"	"TSPYL4"	873	2141	1073	220	255	195
"ENSG00000187871"	"GFRAL"	2	3	17	0	0	0
"ENSG00000287992"	"NA"	5	6	1	3	4	1
"ENSG00000275773"	"NA"	0	0	0	0	0	0
"ENSG00000216904"	"SOCS5P5"	0	0	1	0	0	0
"ENSG00000287499"	"NA"	0	0	0	0	0	0
"ENSG00000220695"	"NA"	1	4	12	0	0	18
"ENSG00000218986"	"NA"	0	0	2	0	0	0
"ENSG00000288084"	"NA"	0	2	6	1	0	6
"ENSG00000008196"	"TFAP2B"	0	0	0	0	0	0
"ENSG00000217241"	"NA"	2	1	1	1	0	1
"ENSG00000082293"	"COL19A1"	321	437	634	766	469	518
"ENSG00000219863"	"RPL31P28"	0	0	0	0	0	0
"ENSG00000230852"	"LINC02857"	11	18	6	5	11	36
"ENSG00000111912"	"NCOA7"	896	2288	1549	456	660	972
"ENSG00000130349"	"MTRES1"	37	106	147	83	83	63
"ENSG00000270934"	"LOC100420531"	1	0	1	0	0	0
"ENSG00000224384"	"NA"	11	32	34	7	25	25
"ENSG00000220537"	"LOC100132659"	0	1	0	0	0	0
"ENSG00000219500"	"LOC100652960"	2	4	3	2	4	4
"ENSG00000146250"	"PRSS35"	2	1	2	0	4	0
"ENSG00000220635"	"NA"	0	0	1	0	0	0
"ENSG00000282218"	"NA"	0	0	0	0	0	0
"ENSG00000232299"	"NA"	0	1	1	0	0	0
"ENSG00000217769"	"NA"	1	1	1	5	0	3
"ENSG00000286663"	"NA"	0	0	2	0	0	0
"ENSG00000216663"	"NA"	0	0	0	1	0	0
"ENSG00000112305"	"SMAP1"	200	274	404	149	322	248
"ENSG00000220553"	"RPL5P19"	0	0	0	0	0	0
"ENSG00000217404"	"NA"	1	0	4	1	0	2
"ENSG00000118402"	"ELOVL4"	129	325	305	53	73	140
"ENSG00000223912"	"EEF1A1P36"	0	0	0	2	0	0
"ENSG00000170162"	"VGLL2"	0	0	1	0	0	0
"ENSG00000169075"	"NA"	40	53	59	24	23	64
"ENSG00000218180"	"NA"	0	0	0	0	0	0
"ENSG00000236920"	"NA"	0	3	17	0	0	7
"ENSG00000079950"	"STX7"	470	981	1432	169	405	570
"ENSG00000220311"	"RPL35AP18"	0	4	0	0	0	0
"ENSG00000146410"	"MTFR2"	4	17	17	2	5	9
"ENSG00000216639"	"RPL7AP35"	15	29	16	6	23	15
"ENSG00000217067"	"NA"	0	0	0	0	0	0
"ENSG00000232389"	"NA"	2	1	2	0	1	5
"ENSG00000218153"	"KRT18P22"	0	4	2	1	0	0
"ENSG00000001561"	"ENPP4"	122	277	363	34	73	143
"ENSG00000153989"	"NUS1"	116	223	225	42	132	118
"ENSG00000271208"	"NA"	0	0	1	0	0	0
"ENSG00000112701"	"SENP6"	1241	1629	2616	608	1313	1836
"ENSG00000060303"	"RPS17P5"	0	0	0	0	0	0
"ENSG00000228082"	"NA"	0	0	1	0	0	0
"ENSG00000112234"	"FBXL4"	125	219	660	76	138	297
"ENSG00000198833"	"UBE2J1"	185	308	305	83	170	165
"ENSG00000118690"	"ARMC2"	358	432	670	294	489	339
"ENSG00000085382"	"HACE1"	769	1492	2101	528	854	1476
"ENSG00000234117"	"NA"	0	0	0	0	0	0
"ENSG00000112773"	"TENT5A"	5	5	36	11	1	2
"ENSG00000225580"	"NA"	0	0	2	0	0	0
"ENSG00000219703"	"NA"	0	1	0	0	0	0
"ENSG00000262803"	"NA"	35	38	82	7	33	57
"ENSG00000220240"	"NA"	0	0	2	1	0	7
"ENSG00000219135"	"RPL23AP48"	0	0	0	0	0	0
"ENSG00000218870"	"SLC25A6P6"	0	2	0	0	0	0
"ENSG00000112276"	"BVES"	23	35	49	5	18	14
"ENSG00000218617"	"NA"	0	0	0	0	0	0
"ENSG00000213108"	"NA"	0	0	0	0	0	0
"ENSG00000285446"	"NA"	0	0	0	0	0	0
"ENSG00000203778"	"FAM229B"	37	89	140	24	28	39
"ENSG00000111879"	"FAM184A"	774	890	1598	488	747	903
"ENSG00000009844"	"VTA1"	116	295	284	32	71	76
"ENSG00000216913"	"NA"	0	0	0	0	0	0
"ENSG00000271111"	"LOC100420211"	0	0	0	0	0	0
"ENSG00000218490"	"FCF1P10"	0	0	0	0	0	0
"ENSG00000178425"	"NT5DC1"	59	95	199	44	51	98
"ENSG00000225343"	"RPL21P66"	0	0	0	0	0	0
"ENSG00000153292"	"ADGRF1"	0	0	0	0	3	0
"ENSG00000066651"	"TRMT11"	476	637	1467	437	636	915
"ENSG00000124780"	"KCNK17"	0	0	0	0	0	0
"ENSG00000233558"	"LOC100287430"	0	0	0	0	0	0
"ENSG00000218208"	"RPS27AP11"	1	19	3	1	0	0
"ENSG00000262566"	"NA"	0	0	0	0	0	0
"ENSG00000112339"	"HBS1L"	627	922	1583	332	654	866
"ENSG00000218049"	"RPL31P33"	0	0	0	0	0	0
"ENSG00000187772"	"LIN28B"	48	88	55	12	23	97
"ENSG00000279403"	"NA"	0	0	0	0	0	0
"ENSG00000164434"	"FABP7"	12	71	36	4	11	6
"ENSG00000226181"	"NA"	0	0	1	0	0	0
